"SYMBOL"	"X.6."	"X.7."	"X.8."	"X.9."	"X.10."	"X.11."	"X.12."	"X.13."	"X.14."	"X.15."
"1"	"PCDHB1"	"0.432407407407407"	"0.128476851851852"	"0.222657407407407"	"0.207259259259259"	"0.191390740740741"	"0.327114814814815"	"0.356134259259259"	"0.334639814814815"	"0.37425462962963"	"0.364814814814815"
"11"	"PCDHB10"	"0.250766666666667"	"0.07055"	"0.150316666666667"	"0.138783333333333"	"0.1197"	"0.209083333333333"	"0.2224"	"0.206366666666667"	"0.233066666666667"	"0.23"
"17"	"PCDHB11"	"0.495818181818182"	"0.179463636363636"	"0.274909090909091"	"0.256309090909091"	"0.222581818181818"	"0.398945454545455"	"0.421827272727273"	"0.391218181818182"	"0.484536363636364"	"0.444881818181818"
"28"	"PCDHB12"	"0.498883333333333"	"0.225616666666667"	"0.282916666666667"	"0.252683333333333"	"0.2442"	"0.407083333333333"	"0.436666666666667"	"0.3952"	"0.473766666666667"	"0.438416666666667"
"34"	"PCDHB13"	"0.519525"	"0.121825"	"0.236775"	"0.226575"	"0.211025"	"0.4055"	"0.448925"	"0.417125"	"0.459025"	"0.4448"
"38"	"PCDHB14"	"0.4563875"	"0.1097125"	"0.2194875"	"0.193825"	"0.2294625"	"0.30785"	"0.3450625"	"0.3086875"	"0.3556875"	"0.350525"
"46"	"PCDHB15"	"0.364626666666667"	"0.10304"	"0.22876"	"0.212766666666667"	"0.213466666666667"	"0.282686666666667"	"0.291346666666667"	"0.291913333333333"	"0.309406666666667"	"0.307613333333333"
"61"	"PCDHB16"	"0.442485714285714"	"0.133857142857143"	"0.212342857142857"	"0.227892857142857"	"0.17415"	"0.289935714285714"	"0.326257142857143"	"0.319992857142857"	"0.354142857142857"	"0.334078571428571"
"75"	"PCDHB17P"	"0.57506"	"0.1498"	"0.26675"	"0.19578"	"0.1866"	"0.43087"	"0.49135"	"0.44276"	"0.4949"	"0.47897"
"85"	"PCDHB18P"	"0.416413333333333"	"0.0894933333333333"	"0.180806666666667"	"0.170486666666667"	"0.135373333333333"	"0.32074"	"0.349106666666667"	"0.313133333333333"	"0.347646666666667"	"0.35434"
"100"	"PCDHB19P"	"0.439533333333333"	"0.104911111111111"	"0.194644444444444"	"0.201877777777778"	"0.193966666666667"	"0.316133333333333"	"0.3446"	"0.326655555555556"	"0.367311111111111"	"0.368344444444444"
"109"	"PCDHB2"	"0.463771428571429"	"0.106892857142857"	"0.242671428571429"	"0.24085"	"0.1775"	"0.347357142857143"	"0.40315"	"0.378385714285714"	"0.3974"	"0.405014285714286"
"123"	"PCDHB3"	"0.55545"	"0.147771428571429"	"0.333192857142857"	"0.309421428571429"	"0.276028571428571"	"0.375864285714286"	"0.432707142857143"	"0.4081"	"0.44335"	"0.439378571428571"
"137"	"PCDHB4"	"0.530635714285714"	"0.185821428571429"	"0.338121428571429"	"0.301907142857143"	"0.271457142857143"	"0.415192857142857"	"0.451828571428571"	"0.412764285714286"	"0.460564285714286"	"0.462614285714286"
"151"	"PCDHB5"	"0.520384615384615"	"0.212892307692308"	"0.362992307692308"	"0.340761538461538"	"0.316684615384615"	"0.426007692307692"	"0.463346153846154"	"0.444592307692308"	"0.476353846153846"	"0.467646153846154"
"164"	"PCDHB6"	"0.51045"	"0.100058333333333"	"0.26445"	"0.242825"	"0.206325"	"0.366075"	"0.425508333333333"	"0.381533333333333"	"0.427625"	"0.422258333333333"
"176"	"PCDHB7"	"0.491381818181818"	"0.141054545454545"	"0.284581818181818"	"0.277536363636364"	"0.265345454545455"	"0.371009090909091"	"0.405718181818182"	"0.368009090909091"	"0.441336363636364"	"0.412972727272727"
"187"	"PCDHB8"	"0.5042"	"0.0964"	"0.264633333333333"	"0.2616"	"0.185866666666667"	"0.4412"	"0.454533333333333"	"0.447566666666667"	"0.4632"	"0.461533333333333"
